"Region"	"fylkenr"	"idnr"	"densMoose16"	"densRed16"	"densRoe16"	"densreinhunters"	"densmoosehunters"	"densredhunters"	"densroehunters"	"densHuman17"	"kdensrein17"	"reinhunters17"	"moosehunters17"	"redhunters17"	"roehunters"	"humans2017"	"totareal"
"East"	"2"	28	0.173093567	0	0.769304741	4.253335594	16.30445311	9.215560454	13.46889605	530.3342374	0	30	115	65	95	37406	70.53
"East"	"2"	29	0.365879155	0	1.306711269	6.486692114	27.24410688	12.32471502	20.75741476	691.1700181	0	50	210	95	160	53276	77.08
"East"	"2"	30	0.644665394	0.008264941	1.735637599	0.792194452	10.29852788	4.357069486	8.51609036	139.0380483	0	20	260	110	215	35102	252.46
"East"	"5"	31	0.067178503	0	0.19193858	0.342592897	4.111114762	1.370371587	3.425928969	31.10743503	0	10	120	40	100	9080	291.89
"East"	"5"	32	0.479229927	0.043378571	0.072297618	0.546937075	1.953346696	0.937606414	1.172008018	7.941526329	0.084556543	35	125	60	75	5082	639.93
"East"	"4"	33	0.219770777	0.018727334	0.016524119	0.438610643	0.877221287	0.415525873	0.277017248	1.168089397	0.097753387	95	190	90	60	2530	2165.93
"West"	"16"	34	0.131444271	0.010774121	0.096967085	0.785123967	1.198347107	0.619834711	0.619834711	1.690909091	0.205731394	95	145	75	75	2046	1210
"West"	"16"	35	0.086139389	0.579483164	0.215348473	0.157728707	4.100946372	4.416403785	2.839116719	5.397476341	0	5	130	140	90	1711	317
"North"	"17"	36	0.534639765	0.010483133	0.331965867	0	3.837209302	1.627906977	2.674418605	8.093023256	0	0	165	70	115	3480	430
"North"	"17"	37	0.58654106	0.124223762	0.24972818	0.106609808	6.076759062	4.21108742	3.891257996	25.18656716	0	10	570	395	365	23625	938
"West"	"16"	38	0.406205924	0.067700987	0.197461213	0	1.291989664	0.775193798	0.645994832	2.527131783	0	0	50	30	25	978	387
"North"	"17"	39	0.344216409	0.081524939	0.075486055	0	2.408637874	1.661129568	1.328903654	4.177740864	0	0	145	100	80	2515	602
"East"	"1"	40	0.21875	0	0.15625	0	2.730083603	0.27300836	1.365041801	3.740214536	0	0	50	5	25	685	183.14
"East"	"4"	41	0.236606519	0	0.02521217	0.049760733	2.272406798	0.132695287	0.613715705	2.172885333	0	15	685	40	185	6550	3014.43
"North"	"17"	42	0.290055887	0.007389959	0.046187243	0	0.86410055	0.274941084	0.432050275	1.970149254	0	0	110	35	55	2508	1273
"North"	"18"	43	0.179466878	0	0	0	0.55678099	0	0	0.979934542	0	0	30	0	0	528	538.81
"North"	"18"	44	0.233619361	0	0	0	1.142248375	0.049662973	0.049662973	2.525858798	0	0	115	5	5	2543	1006.79
"North"	"18"	45	0.262833676	0	0	0	0.809588109	0	0	10.62179599	0	0	20	0	0	2624	247.04
"North"	"18"	46	0.214226861	0	0	0	1.730293462	0	0	14.36558844	0	0	125	0	0	10378	722.42
"North"	"19"	47	0.226942843	0	0	0	0.877653049	0.097517005	0.097517005	5.823715565	0	0	45	5	5	2986	512.73
"North"	"18"	48	0.184608541	0	0	0	0.914656315	0	0.024720441	9.27313181	0	0	185	0	5	18756	2022.62
"North"	"19"	49	0.186193533	0	0	0	0.832113222	0.018491405	0.018491405	1.477093426	0	0	225	5	5	3994	2703.96
"North"	"19"	50	0.185893931	0	0	0	0.738239736	0	0	3.538629137	0	0	60	0	0	2876	812.74
"North"	"19"	51	0.207612457	0	0	0	0.73995802	0	0	6.156450724	0	0	35	0	0	2912	473
"North"	"19"	52	0.094628802	0	0	0	0.1422982	0	0	0.584845602	0	0	30	0	0	1233	2108.25
"North"	"20"	53	0.022738095	0	0	0	0.36677654	0	0	0.494414775	0	0	200	0	0	2696	5452.91
"West"	"12"	54	0	1.103977223	0	0	0	6.010718063	0.751339758	73.82664461	0	0	0	40	5	4913	66.55
"West"	"12"	55	0	0.908402725	0	1.350002554	2.025003832	14.51252746	0.675001277	170.1273219	0	20	30	215	10	25204	148.15
"West"	"12"	56	0	1.322345466	0	0.315173981	0.525289968	6.828769588	0.105057994	33.05334596	0	15	25	325	5	15731	475.93
"West"	"11"	57	0.029887548	0.328763029	0.485672657	0.916698529	3.208444851	6.646064334	5.958540437	58.03618386	0.05252612	20	70	145	130	12662	218.17
"West"	"12"	58	0.012936611	0.224234584	0	1.082971546	0.278478398	0.866377237	0.092826133	4.347357206	0.132011672	175	45	140	15	7025	1615.92
"West"	"12"	59	0	0.804111747	0	0.238166983	0.238166983	2.14350285	0	5.277780351	0	5	5	45	0	1108	209.94
"West"	"12"	60	0	0.780969479	0	0.121315451	0	0.485261804	0	0.929276354	0.028264556	5	0	20	0	383	412.15
"West"	"15"	61	0	1.803178484	0.916870416	1.704366232	0	17.04366232	6.817464928	153.5122665	0	10	0	100	40	9007	58.67
"West"	"15"	62	0	1.536	0.12	0.575800861	0.575800861	7.677344807	3.262871543	35.74571742	0	15	15	200	85	9312	260.51
"South"	"10"	63	0.151716077	0.008428671	0.421433548	0.780310726	10.66424659	7.412951897	10.66424659	37.51994074	0	30	410	285	410	14425	384.46
"South"	"9"	64	0.135139333	0.090092889	0.333965019	0.444968591	3.782233022	3.633910159	3.856394454	7.680157878	0	30	255	245	260	5178	674.2
"South"	"9"	65	0.100304496	0.171950564	1.468744403	1.576877693	9.986892058	9.986892058	12.61502155	56.25248358	0	30	190	190	240	10702	190.25
"South"	"9"	66	0.082610645	0.047338684	0.129949329	0.08844811	1.370945702	1.149825428	0.884481098	1.641596918	0.019826518	10	155	130	100	1856	1130.61
"South"	"8"	67	0.138842975	0.039669421	0	0.631707517	1.895122551	1.326585786	0.505366014	2.012620149	0.2319202	50	150	105	40	1593	791.51
"West"	"15"	68	0	2	0.546875	0	0	5.277755265	4.222204212	22.00823946	0	0	0	50	40	2085	94.74
"West"	"15"	69	0.016155089	0.581583199	2.665589661	0	3.397032508	7.643323143	8.49258127	60.24637153	0	0	20	45	50	3547	58.87
"West"	"15"	70	0.009179674	1.061782264	0.581379338	0.270674937	2.5714119	5.819511143	4.872148864	26.3664456	0	10	95	215	180	9741	369.45
"West"	"15"	71	0	0.687088811	0	0	0.354790817	1.596558678	0.532186226	7.663481655	0	0	10	45	15	2160	281.86
"South"	"8"	72	0.14230824	0.168522915	0.973687955	0.986738921	8.88065029	8.88065029	9.702932725	46.50171622	0	30	270	270	295	14138	304.03
"East"	"6"	73	0.215030382	0.038657147	0	0.890271235	2.559529802	1.891826375	0.778987331	3.113723646	0.122473963	40	115	85	35	1399	449.3
"East"	"6"	74	0.175395193	0.036925304	0	0.141948928	0.922668031	0.780719103	0.212923392	1.53446791	0.457831325	10	65	55	15	1081	704.48
"East"	"5"	75	0.293728532	0.012137543	0	0	1.415646095	0.762270974	0.435583414	2.942365961	0	0	65	35	20	1351	459.15
"East"	"5"	76	0.234404537	0.120982987	0.11342155	1.099833077	0.953188667	0.916527565	0.513255436	1.961368988	0.103525953	150	130	125	70	2675	1363.84
"East"	"5"	77	0.242761693	0.071269488	0.111358575	0.497397959	1.823792515	1.713259635	0.773730158	6.539125163	0.085184183	45	165	155	70	5916	904.71
"West"	"15"	78	0.098288016	0.670292044	0.088620342	0.073246278	2.234011487	2.417127183	1.794533818	4.384522217	0	10	305	330	245	5986	1365.26
"East"	"6"	79	0.173913043	0	0.434782609	2.46523656	6.573964161	5.752218641	11.91531004	203.1190577	0	30	80	70	145	24718	121.69
"East"	"6"	80	0.150338261	0	0.801804059	4.000443168	11.2739762	10.18294625	17.09280263	497.2405387	0	55	155	140	235	68363	137.48
"East"	"1"	81	0.287463708	0	2.155977808	2.362439793	16.53707855	5.512359517	20.47447821	510.3972425	0	15	105	35	130	32407	63.49
"East"	"3"	82	0.204292251	0	0.264171014	14.09611627	36.45167567	24.11757393	27.53147709	1468.548811	0	640	1655	1095	1250	666759	454.03
"East"	"4"	83	0.513497653	0.00505909	0.246630646	0.429303511	3.356372903	1.053744981	2.497765881	26.4154353	0.084556543	55	430	135	320	33842	1281.14
"East"	"2"	84	0.221229874	0.049162194	0.587215098	0.547514088	5.803649331	3.066078892	5.475140878	53.47022582	0	25	265	140	250	24415	456.61
"East"	"5"	85	0.287417219	0.068874172	0.079470199	0.721422275	1.402765534	1.042054397	0.881738336	3.608714533	0.084556543	90	175	130	110	4502	1247.54
"East"	"4"	86	0.155702409	0.03420348	0.025524985	0.141529108	0.660469173	0.235881847	0.141529108	0.584357963	0.132071268	45	210	75	45	1858	3179.56
"East"	"4"	87	0.255009107	0.036429872	0.063752277	0.939136893	1.134790413	0.547829854	0.391307039	1.2341824	0.105536711	120	145	70	50	1577	1277.77
"East"	"4"	88	0.146569142	0.026056736	0.070570328	0.848762428	1.962763116	1.379238946	0.742667125	2.58978636	0.150091637	80	185	130	70	2441	942.55
"East"	"4"	89	0.249551167	0.001795332	0.143626571	0.672764585	1.729966077	0.384436906	0.720819199	1.886624116	0.205731394	70	180	40	75	1963	1040.48
"West"	"16"	90	0.486486486	0.108108108	5.675675676	0	9.589041096	9.589041096	10.2739726	72.47945205	0	0	70	70	75	5291	73
"West"	"16"	91	0.415030923	0.657699277	0.079377499	0.084175084	5.134680135	4.882154882	2.693602694	20.01851852	0	5	305	290	160	11891	594
